Img,Label
Blended_1.jpg,1.0
Blended_10.jpg,0.0
Blended_11.jpg,0.0
Blended_12.jpg,1.0
Blended_13.jpg,0.0
Blended_14.jpg,2.0
Blended_15.jpg,2.0
Blended_16.jpg,2.0
Blended_17.jpg,2.0
Blended_18.jpg,2.0
Blended_19.jpg,2.0
Blended_2.jpg,1.0
Blended_20.jpg,2.0
Blended_21.jpg,0.0
Blended_22.jpg,0.0
Blended_23.jpg,1.0
Blended_24.jpg,1.0
Blended_25.jpg,1.0
Blended_26.jpg,1.0
Blended_27.jpg,2.0
Blended_28.jpg,0.0
Blended_29.jpg,0.0
Blended_3.jpg,1.0
Blended_30.jpg,0.0
Blended_31.jpg,0.0
Blended_32.jpg,0.0
Blended_4.jpg,1.0
Blended_5.jpg,1.0
Blended_6.jpg,1.0
Blended_7.jpg,0.0
Blended_8.jpg,0.0
Blended_9.jpg,0.0
