Img,Label
Blended_33.jpg,0.0
Blended_34.jpg,1.0
Blended_35.jpg,0.0
Blended_36.jpg,1.0
Blended_37.jpg,1.0
Blended_38.jpg,1.0
Blended_39.jpg,1.0
Blended_40.jpg,1.0
Blended_41.jpg,1.0
Blended_42.jpg,0.0
Blended_43.jpg,1.0
Blended_44.jpg,0.0
Blended_45.jpg,2.0
Blended_46.jpg,2.0
Blended_47.jpg,2.0
Blended_48.jpg,2.0
Blended_49.jpg,2.0
Blended_50.jpg,2.0
Blended_51.jpg,2.0
Blended_52.jpg,1.0
Blended_53.jpg,0.0
Blended_54.jpg,0.0
Blended_55.jpg,1.0
Blended_56.jpg,1.0
Blended_57.jpg,1.0
Blended_58.jpg,1.0
Blended_59.jpg,2.0
Blended_60.jpg,0.0
Blended_61.jpg,0.0
Blended_62.jpg,1.0
Blended_63.jpg,0.0
Blended_64.jpg,1.0
