Img,Label
Blended_129.jpg,1.0
Blended_130.jpg,0.0
Blended_131.jpg,1.0
Blended_132.jpg,1.0
Blended_133.jpg,0.0
Blended_134.jpg,0.0
Blended_135.jpg,0.0
Blended_136.jpg,1.0
Blended_137.jpg,1.0
Blended_138.jpg,1.0
Blended_139.jpg,1.0
Blended_140.jpg,2.0
Blended_141.jpg,2.0
Blended_142.jpg,2.0
Blended_143.jpg,2.0
Blended_144.jpg,2.0
Blended_145.jpg,2.0
Blended_146.jpg,2.0
Blended_147.jpg,0.0
Blended_148.jpg,0.0
Blended_149.jpg,1.0
Blended_150.jpg,1.0
Blended_151.jpg,1.0
Blended_152.jpg,1.0
Blended_153.jpg,2.0
Blended_154.jpg,0.0
Blended_155.jpg,0.0
Blended_156.jpg,0.0
Blended_157.jpg,0.0
Blended_158.jpg,0.0
Blended_159.jpg,0.0
Blended_160.jpg,0.0
