Img,Label
Scissor_1089,1
Scissor_1090,1
Scissor_1091,1
Scissor_1092,1
Scissor_1093,1
Scissor_1094,1
Scissor_1095,1
Scissor_1096,1
Scissor_1097,1
Scissor_1098,1
Scissor_1099,1
Scissor_1100,1
Scissor_1101,1
Scissor_1102,1
Scissor_1103,1
Scissor_1104,1
Scissor_1105,1
Scissor_1106,1
Scissor_1107,1
Scissor_1108,1
Scissor_1109,1
Scissor_1110,1
Scissor_1111,1
Scissor_1112,1
Scissor_1113,1
Scissor_1114,1
Scissor_1115,1
Scissor_1116,1
Scissor_1117,1
Scissor_1118,1
Scissor_1119,1
Scissor_1120,1
