Img,Label
Scissor_1313,1
Scissor_1314,1
Scissor_1315,1
Scissor_1316,1
Scissor_1317,1
Scissor_1318,1
Scissor_1319,1
Scissor_1320,1
Scissor_1321,1
Scissor_1322,1
Scissor_1323,1
Scissor_1324,1
Scissor_1325,1
Scissor_1326,1
Scissor_1327,1
Scissor_1328,1
Scissor_1329,1
Scissor_1330,1
Scissor_1331,1
Scissor_1332,1
Scissor_1333,1
Scissor_1334,1
Scissor_1335,1
Scissor_1336,1
Scissor_1337,1
Scissor_1338,1
Scissor_1339,1
Scissor_1340,1
Scissor_1341,1
Scissor_1342,1
Scissor_1343,1
Scissor_1344,1
