Img,Label
Scissor_1121,1
Scissor_1122,1
Scissor_1123,1
Scissor_1124,1
Scissor_1125,1
Scissor_1126,1
Scissor_1127,1
Scissor_1128,1
Scissor_1129,1
Scissor_1130,1
Scissor_1131,1
Scissor_1132,1
Scissor_1133,1
Scissor_1134,1
Scissor_1135,1
Scissor_1136,1
Scissor_1137,1
Scissor_1138,1
Scissor_1139,1
Scissor_1140,1
Scissor_1141,1
Scissor_1142,1
Scissor_1143,1
Scissor_1144,1
Scissor_1145,1
Scissor_1146,1
Scissor_1147,1
Scissor_1148,1
Scissor_1149,1
Scissor_1150,1
Scissor_1151,1
Scissor_1152,1
