Img,Label
Scissor_1473,1
Scissor_1474,1
Scissor_1475,1
Scissor_1476,1
Scissor_1477,1
Scissor_1478,1
Scissor_1479,1
Scissor_1480,1
Scissor_1481,1
Scissor_1482,1
Scissor_1483,1
Scissor_1484,1
Scissor_1485,1
Scissor_1486,1
Scissor_1487,1
Scissor_1488,1
Scissor_1489,1
Scissor_1490,1
Scissor_1491,1
Scissor_1492,1
Scissor_1493,1
Scissor_1494,1
Scissor_1495,1
Scissor_1496,1
Scissor_1497,1
Scissor_1498,1
Scissor_1499,1
Scissor_1500,1
Scissor_1501,1
Scissor_1502,1
Scissor_1503,1
Scissor_1504,1
