Img,Label
Scissor_1281,1
Scissor_1282,1
Scissor_1283,1
Scissor_1284,1
Scissor_1285,1
Scissor_1286,1
Scissor_1287,1
Scissor_1288,1
Scissor_1289,1
Scissor_1290,1
Scissor_1291,1
Scissor_1292,1
Scissor_1293,1
Scissor_1294,1
Scissor_1295,1
Scissor_1296,1
Scissor_1297,1
Scissor_1298,1
Scissor_1299,1
Scissor_1300,1
Scissor_1301,1
Scissor_1302,1
Scissor_1303,1
Scissor_1304,1
Scissor_1305,1
Scissor_1306,1
Scissor_1307,1
Scissor_1308,1
Scissor_1309,1
Scissor_1310,1
Scissor_1311,1
Scissor_1312,1
