Img,Label
Scissor_1409,1
Scissor_1410,1
Scissor_1411,1
Scissor_1412,1
Scissor_1413,1
Scissor_1414,1
Scissor_1415,1
Scissor_1416,1
Scissor_1417,1
Scissor_1418,1
Scissor_1419,1
Scissor_1420,1
Scissor_1421,1
Scissor_1422,1
Scissor_1423,1
Scissor_1424,1
Scissor_1425,1
Scissor_1426,1
Scissor_1427,1
Scissor_1428,1
Scissor_1429,1
Scissor_1430,1
Scissor_1431,1
Scissor_1432,1
Scissor_1433,1
Scissor_1434,1
Scissor_1435,1
Scissor_1436,1
Scissor_1437,1
Scissor_1438,1
Scissor_1439,1
Scissor_1440,1
