Img,Label
Scissor_1249,1
Scissor_1250,1
Scissor_1251,1
Scissor_1252,1
Scissor_1253,1
Scissor_1254,1
Scissor_1255,1
Scissor_1256,1
Scissor_1257,1
Scissor_1258,1
Scissor_1259,1
Scissor_1260,1
Scissor_1261,1
Scissor_1262,1
Scissor_1263,1
Scissor_1264,1
Scissor_1265,1
Scissor_1266,1
Scissor_1267,1
Scissor_1268,1
Scissor_1269,1
Scissor_1270,1
Scissor_1271,1
Scissor_1272,1
Scissor_1273,1
Scissor_1274,1
Scissor_1275,1
Scissor_1276,1
Scissor_1277,1
Scissor_1278,1
Scissor_1279,1
Scissor_1280,1
