Img,Label
Scissor_1505,1
Scissor_1506,1
Scissor_1507,1
Scissor_1508,1
Scissor_1509,1
Scissor_1510,1
Scissor_1511,1
Scissor_1512,1
Scissor_1513,1
Scissor_1514,1
Scissor_1515,1
Scissor_1516,1
Scissor_1517,1
Scissor_1518,1
Scissor_1519,1
Scissor_1520,1
Scissor_1521,1
Scissor_1522,1
Scissor_1523,1
Scissor_1524,1
Scissor_1525,1
Scissor_1526,1
Scissor_1527,1
Scissor_1528,1
Scissor_1529,1
Scissor_1530,1
Scissor_1531,1
Scissor_1532,1
Scissor_1533,1
Scissor_1534,1
Scissor_1535,1
Scissor_1536,1
