Img,Label
Scissor_1185,1
Scissor_1186,1
Scissor_1187,1
Scissor_1188,1
Scissor_1189,1
Scissor_1190,1
Scissor_1191,1
Scissor_1192,1
Scissor_1193,1
Scissor_1194,1
Scissor_1195,1
Scissor_1196,1
Scissor_1197,1
Scissor_1198,1
Scissor_1199,1
Scissor_1200,1
Scissor_1201,1
Scissor_1202,1
Scissor_1203,1
Scissor_1204,1
Scissor_1205,1
Scissor_1206,1
Scissor_1207,1
Scissor_1208,1
Scissor_1209,1
Scissor_1210,1
Scissor_1211,1
Scissor_1212,1
Scissor_1213,1
Scissor_1214,1
Scissor_1215,1
Scissor_1216,1
