Img,Label
Scissor_1025,1
Scissor_1026,1
Scissor_1027,1
Scissor_1028,1
Scissor_1029,1
Scissor_1030,1
Scissor_1031,1
Scissor_1032,1
Scissor_1033,1
Scissor_1034,1
Scissor_1035,1
Scissor_1036,1
Scissor_1037,1
Scissor_1038,1
Scissor_1039,1
Scissor_1040,1
Scissor_1041,1
Scissor_1042,1
Scissor_1043,1
Scissor_1044,1
Scissor_1045,1
Scissor_1046,1
Scissor_1047,1
Scissor_1048,1
Scissor_1049,1
Scissor_1050,1
Scissor_1051,1
Scissor_1052,1
Scissor_1053,1
Scissor_1054,1
Scissor_1055,1
Scissor_1056,1
