Img,Label
Scissor_1000,1
Scissor_1001,1
Scissor_1002,1
Scissor_1003,1
Scissor_1004,1
Scissor_1005,1
Scissor_1006,1
Scissor_1007,1
Scissor_1008,1
Scissor_1009,1
Scissor_1010,1
Scissor_1011,1
Scissor_1012,1
Scissor_1013,1
Scissor_1014,1
Scissor_1015,1
Scissor_1016,1
Scissor_1017,1
Scissor_1018,1
Scissor_1019,1
Scissor_1020,1
Scissor_1021,1
Scissor_1022,1
Scissor_1023,1
Scissor_1024,1
Scissor_993,1
Scissor_994,1
Scissor_995,1
Scissor_996,1
Scissor_997,1
Scissor_998,1
Scissor_999,1
