Img,Label
Scissor_1217,1
Scissor_1218,1
Scissor_1219,1
Scissor_1220,1
Scissor_1221,1
Scissor_1222,1
Scissor_1223,1
Scissor_1224,1
Scissor_1225,1
Scissor_1226,1
Scissor_1227,1
Scissor_1228,1
Scissor_1229,1
Scissor_1230,1
Scissor_1231,1
Scissor_1232,1
Scissor_1233,1
Scissor_1234,1
Scissor_1235,1
Scissor_1236,1
Scissor_1237,1
Scissor_1238,1
Scissor_1239,1
Scissor_1240,1
Scissor_1241,1
Scissor_1242,1
Scissor_1243,1
Scissor_1244,1
Scissor_1245,1
Scissor_1246,1
Scissor_1247,1
Scissor_1248,1
