Img,Label
Scissor_1345,1
Scissor_1346,1
Scissor_1347,1
Scissor_1348,1
Scissor_1349,1
Scissor_1350,1
Scissor_1351,1
Scissor_1352,1
Scissor_1353,1
Scissor_1354,1
Scissor_1355,1
Scissor_1356,1
Scissor_1357,1
Scissor_1358,1
Scissor_1359,1
Scissor_1360,1
Scissor_1361,1
Scissor_1362,1
Scissor_1363,1
Scissor_1364,1
Scissor_1365,1
Scissor_1366,1
Scissor_1367,1
Scissor_1368,1
Scissor_1369,1
Scissor_1370,1
Scissor_1371,1
Scissor_1372,1
Scissor_1373,1
Scissor_1374,1
Scissor_1375,1
Scissor_1376,1
