Img,Label
Scissor_1377,1
Scissor_1378,1
Scissor_1379,1
Scissor_1380,1
Scissor_1381,1
Scissor_1382,1
Scissor_1383,1
Scissor_1384,1
Scissor_1385,1
Scissor_1386,1
Scissor_1387,1
Scissor_1388,1
Scissor_1389,1
Scissor_1390,1
Scissor_1391,1
Scissor_1392,1
Scissor_1393,1
Scissor_1394,1
Scissor_1395,1
Scissor_1396,1
Scissor_1397,1
Scissor_1398,1
Scissor_1399,1
Scissor_1400,1
Scissor_1401,1
Scissor_1402,1
Scissor_1403,1
Scissor_1404,1
Scissor_1405,1
Scissor_1406,1
Scissor_1407,1
Scissor_1408,1
