Img,Label
Scissor_1441,1
Scissor_1442,1
Scissor_1443,1
Scissor_1444,1
Scissor_1445,1
Scissor_1446,1
Scissor_1447,1
Scissor_1448,1
Scissor_1449,1
Scissor_1450,1
Scissor_1451,1
Scissor_1452,1
Scissor_1453,1
Scissor_1454,1
Scissor_1455,1
Scissor_1456,1
Scissor_1457,1
Scissor_1458,1
Scissor_1459,1
Scissor_1460,1
Scissor_1461,1
Scissor_1462,1
Scissor_1463,1
Scissor_1464,1
Scissor_1465,1
Scissor_1466,1
Scissor_1467,1
Scissor_1468,1
Scissor_1469,1
Scissor_1470,1
Scissor_1471,1
Scissor_1472,1
